Reference,Qty,Value/Description,Footprint,Unit Price (USD),Unit Price (BRL),Total (USD),Total (BRL)
"C1, C2, C7",3,10uF (radial electrolytic),CP_Radial_D5.0mm_P2.00mm,0.05,0.25,0.15,0.75
"C3, C4, C5, C6",4,100nF (disc ceramic),C_Disc_D3.0mm_W1.6mm_P2.50mm,0.02,0.10,0.08,0.40
J1,1,"USB-C Receptacle 2.0 (HRO TYPE-C-31-M-12)",Connector_USB,0.45,2.30,0.45,2.30
J2,1,"1x06 female connector, Molex PicoBlade 1.25mm",Connector_Molex,0.55,2.80,0.55,2.80
L1,1,15uH radial inductor (Fastron 07HCP),Inductor_THT,0.30,1.55,0.30,1.55
"R1, R2",2,5.1kOhm resistor (THT axial),R_Axial_DIN0207,0.02,0.10,0.04,0.20
"R3, R4",2,10kOhm resistor (THT axial),R_Axial_DIN0207,0.02,0.10,0.04,0.20
"SW1, SW2",2,6mm push-button (tactile),SW_PUSH_6mm,0.05,0.25,0.10,0.50
U1,1,AMS1117-3.3 (LDO regulator SOT-223),SOT-223-3,0.15,0.80,0.15,0.80
U2,1,ESP32-S3-WROOM-1 (Wi-Fi/BLE module),RF_Module,3.30,17.00,3.30,17.00
U3,1,SX1262IMLTRT (LoRa transceiver QFN-24),QFN-24-1EP,3.50,18.00,3.50,18.00
BOM Subtotal (1 board),,,,,,8.51,43.70
PCB fabrication (minimum batch, not split),,,,,,"15.00-25.00","77.00-128.25"
Taxes (Scenario A, most likely),,,,,,1.53,7.85
Total for 1 board (full minimum-batch cost),,,,,,"25-35","128-180"
